Name,negative,positive,predict_type
1,0.997474487899786,0.0025255121002138855,0
10,0.9859253623244895,0.01407463767551054,0
100,0.5500371540343479,0.44996284596565206,0
101,0.3529587674798464,0.6470412325201537,1
102,0.866261132092992,0.13373886790700776,0
103,0.004975210301450123,0.9950247896985498,1
104,0.6325336997513894,0.3674663002486106,0
105,0.9989586288431762,0.001041371156823773,0
106,0.9442104849948826,0.05578951500511744,0
107,0.9939976843378895,0.006002315662110514,0
108,0.8677693913905097,0.1322306086094904,0
109,0.9937920008217894,0.006207999178210714,0
11,0.9779135868723509,0.022086413127649106,0
110,0.9937632071903207,0.006236792809679213,0
111,3.943905366693595e-09,0.9999999960560947,1
112,0.9542522133101983,0.04574778668980165,0
113,0.8722653022467887,0.12773469775321117,0
114,0.3713215137193967,0.6286784862806034,1
115,0.7267061043252465,0.27329389567475343,0
116,0.9727671400969397,0.02723285990306037,0
117,0.6953432052871349,0.3046567947128651,0
118,0.008387912631884523,0.9916120873681156,1
119,0.9904438602559854,0.009556139744014652,0
12,0.5209049444480314,0.4790950555519689,0
120,0.11305048693255376,0.8869495130674461,1
121,0.32321383417260413,0.6767861658273961,1
122,0.8967894424911763,0.10321055750882378,0
123,0.9946946850486504,0.005305314951349602,0
124,0.9991506482120542,0.000849351787945808,0
125,0.9872200173634285,0.012779982636571601,0
126,0.8668138233912908,0.13318617660870938,0
127,0.9979977253194816,0.002002274680518345,0
128,0.9626113494463826,0.0373886505536175,0
129,0.8783915675208203,0.12160843247917973,0
13,0.9579181939897531,0.04208180601024684,0
130,0.9989008696932044,0.0010991303067957076,0
131,0.8850050883741799,0.11499491162581996,0
132,0.38522704029310645,0.6147729597068936,1
133,0.992547830310595,0.0074521696894051005,0
134,0.6485384063381455,0.35146159366185453,0
135,0.7770178092072021,0.22298219079279777,0
136,0.055605759025973894,0.9443942409740261,1
137,0.9731764596847879,0.026823540315211947,0
138,0.943329314887812,0.05667068511218808,0
139,0.8582288719577684,0.14177112804223158,0
14,0.9136326995980668,0.08636730040193319,0
140,0.9694399112262265,0.03056008877377344,0
141,0.13525671406755804,0.8647432859324421,1
142,0.0156709140284015,0.9843290859715984,1
