Name,negative,positive,predict_type
1,0.9365045961279042,0.06349540387209589,0
10,7.086103836849448e-06,0.9999929138961632,1
11,0.9770029941330585,0.022997005866941433,0
12,0.977492478153459,0.022507521846541034,0
13,0.9715615467451005,0.028438453254899475,0
14,1.0691247998509364e-07,0.99999989308752,1
15,0.8338492518880669,0.1661507481119329,0
16,3.00000089999998e-14,0.9999999999999699,1
17,1.9602180293882036e-06,0.9999980397819705,1
18,1.7650307274490084e-07,0.9999998234969273,1
19,1.8526494567004462e-08,0.9999999814735053,1
2,0.9523510833941977,0.04764891660580234,0
20,0.9973143928945296,0.0026856071054704813,0
21,7.036154206496983e-08,0.999999929638458,1
22,0.6680520353702714,0.33194796462972875,0
23,0.8821329066255318,0.11786709337446837,0
24,1.9227343853800813e-10,0.9999999998077266,1
25,0.9514560567564881,0.0485439432435118,0
26,1.9919679673588933e-12,0.9999999999980079,1
27,3.701510959306191e-13,0.9999999999996299,1
28,0.9927108381603549,0.0072891618396451535,0
29,0.7795914891160939,0.22040851088390628,0
3,8.363647754243742e-10,0.9999999991636352,1
30,0.9670672462994817,0.03293275370051819,0
31,5.79587933741274e-11,0.9999999999420413,1
32,0.6857157271119411,0.31428427288805894,0
33,0.007745903960485062,0.9922540960395151,1
34,2.583068937674363e-08,0.9999999741693105,1
35,0.006208964088028673,0.9937910359119714,1
36,3.476526158972361e-08,0.9999999652347384,1
37,0.7399105495581061,0.26008945044189385,0
38,1.4150521883638458e-10,0.9999999998584947,1
39,0.9511149759349052,0.048885024065094845,0
4,8.013840894155607e-13,0.9999999999991986,1
40,0.004771136484083414,0.9952288635159167,1
41,0.01187847985270548,0.9881215201472946,1
42,2.9784073083315706e-09,0.9999999970215927,1
43,0.574089343428017,0.42591065657198296,0
44,5.895509080903464e-11,0.9999999999410449,1
45,1.3962642049916241e-08,0.9999999860373578,1
46,1.6706094748322427e-05,0.9999832939052516,1
47,0.0041549213947192215,0.9958450786052808,1
48,0.9778795268074034,0.02212047319259662,0
49,6.886938343091751e-10,0.9999999993113062,1
5,1.2151605915714796e-11,0.9999999999878484,1
50,0.980407325350441,0.019592674649558994,0
51,3.242368467016043e-07,0.9999996757631533,1
52,6.831757428078718e-08,0.9999999316824256,1
53,3.7403598132401466e-06,0.9999962596401868,1
54,1.86926645695852e-11,0.9999999999813074,1
55,4.166082165717172e-11,0.9999999999583392,1
56,4.01602809511428e-06,0.9999959839719048,1
57,3.6909708865470274e-06,0.9999963090291134,1
58,0.9823025820948433,0.01769741790515672,0
59,8.000338562129375e-11,0.9999999999199966,1
6,0.5342555537530196,0.46574444624698036,0
60,0.9425156212687387,0.05748437873126128,0
61,1.974505130577708e-06,0.9999980254948694,1
62,4.5679107583505795e-07,0.9999995432089241,1
63,0.9934156149440715,0.00658438505592871,0
64,2.765875090661028e-08,0.999999972341249,1
65,1.170410190275103e-11,0.9999999999882959,1
66,0.9869146071605975,0.01308539283940245,0
67,1.5727877942716493e-08,0.999999984272122,1
68,0.06041112460229983,0.9395888753977001,1
69,2.4635732757691383e-11,0.9999999999753643,1
7,8.387497101551517e-07,0.9999991612502899,1
70,5.706113109075452e-07,0.999999429388689,1
71,2.804612365452277e-07,0.9999997195387633,1
72,0.9928645631322243,0.007135436867775684,0
73,2.204625541042466e-09,0.9999999977953744,1
74,9.895291739625406e-12,0.9999999999901047,1
75,2.726705222164599e-06,0.9999972732947778,1
76,0.9976732214604009,0.002326778539599075,0
77,0.9881800400956362,0.011819959904363754,0
8,0.9972881362960588,0.002711863703941189,0
9,0.6571106113745802,0.34288938862541973,0
